Disease,Symptom,Description,Precautions,Specialist,Is_Emergency
Dengue,joint pain red spots over body loss of appetite back pain malaise headache skin rash nausea muscle pain high fever pain behind the eyes vomiting chills fatigue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever.","drink papaya leaf juice, avoid fatty spicy food, keep mosquitos away, keep hydrated",Infectious Disease Specialist,False
Typhoid,abdominal pain diarrhoea belly pain headache toxic look (typhos) nausea high fever constipation vomiting chills fatigue,"An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",General Physician,False
hepatitis A,joint pain yellowish skin abdominal pain loss of appetite diarrhoea mild fever nausea yellowing of eyes muscle pain vomiting dark urine,Hepatitis A is a highly contagious liver infection caused by the hepatitis A virus. The virus is one of several types of hepatitis viruses that cause inflammation and affect your liver's ability to function.,"Consult nearest hospital, wash hands through, avoid fatty spicy food, medication",Gastroenterologist,False
Hepatitis B,yellowish skin abdominal pain loss of appetite yellow urine malaise receiving blood transfusion yellowing of eyes itching lethargy receiving unsterile injections fatigue dark urine,"Hepatitis B is an infection of your liver. It can cause scarring of the organ, liver failure, and cancer. It can be fatal if it isn't treated. It's spread when people come in contact with the blood, open sores, or body fluids of someone who has the hepatitis B virus.","consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist,False
Hepatitis C,family history yellowish skin loss of appetite nausea yellowing of eyes fatigue,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer.","Consult nearest hospital, vaccination, eat healthy, medication",Gastroenterologist,False
Hepatitis D,joint pain yellowish skin abdominal pain loss of appetite nausea yellowing of eyes vomiting fatigue dark urine,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).","consult doctor, medication, eat healthy, follow up",Gastroenterologist,False
Hepatitis E,joint pain yellowish skin abdominal pain loss of appetite stomach bleeding nausea yellowing of eyes acute liver failure coma high fever vomiting fatigue dark urine,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,"stop alcohol consumption, rest, consult doctor, medication",Gastroenterologist,False
Alcoholic hepatitis,yellowish skin abdominal pain swelling of stomach fluid overload vomiting distention of abdomen history of alcohol consumption,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol","stop alcohol consumption, consult doctor, medication, follow up",Gastroenterologist,False
Tuberculosis,weight loss breathlessness loss of appetite chest pain mild fever malaise yellowing of eyes swelled lymph nodes phlegm high fever vomiting chills blood in sputum cough fatigue sweating,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.","cover mouth, consult doctor, medication, rest",Pulmonologist,False
Common Cold,runny nose chest pain malaise headache redness of eyes throat irritation loss of smell swelled lymph nodes phlegm muscle pain high fever sinus pressure chills congestion cough fatigue continuous sneezing,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.","drink vitamin c rich drinks, take vapour, avoid cold food, keep fever in check",General Physician,False
Pneumonia,breathlessness chest pain malaise phlegm high fever rusty sputum chills fast heart rate cough fatigue sweating,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.","consult doctor, medication, rest, follow up",Pulmonologist,False
Dimorphic hemmorhoids(piles),irritation in anus pain in anal region constipation bloody stool pain during bowel movements,,"avoid fatty spicy food, consume witch hazel, warm bath with epsom salt, consume alovera juice",Proctologist,False
Heart attack,breathlessness chest pain vomiting sweating,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle.","call ambulance, chew or swallow asprin, keep calm",Cardiologist,True
Varicose veins,swollen blood vessels swollen legs prominent veins on calf obesity cramps fatigue bruising,"A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.","lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long",Vascular Surgeon,False
Hypothyroidism,enlarged thyroid depression irritability puffy face and eyes mood swings swollen extremeties weight gain lethargy abnormal menstruation dizziness cold hands and feets fatigue brittle nails,"Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.","reduce stress, exercise, eat healthy, get proper sleep",Endocrinologist,False
Hyperthyroidism,weight loss irritability diarrhoea mood swings abnormal menstruation excessive hunger fast heart rate muscle weakness fatigue restlessness sweating,"Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.","eat healthy, massage, use lemon balm, take radioactive iodine treatment",Endocrinologist,False
Hypoglycemia,palpitations slurred speech headache blurred and distorted vision nausea vomiting excessive hunger drying and tingling lips irritability anxiety fatigue sweating,Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,"lie down on side, check in pulse, drink sugary drinks, consult doctor",Endocrinologist,False
Osteoarthristis,joint pain hip joint pain painful walking neck pain swelling joints knee pain,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.","acetaminophen, consult nearest hospital, follow up, salt baths",Rheumatologist or Orthopedist,False
Arthritis,painful walking stiff neck movement stiffness swelling joints muscle weakness,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.","exercise, use hot and cold therapy, try acupuncture, massage",Rheumatologist or Orthopedist,False
(vertigo) Paroymsal  Positional Vertigo,unsteadiness loss of balance spinning movements headache nausea vomiting,Benign paroxysmal positional vertigo (BPPV) is one of the most common causes of vertigo — the sudden sensation that you're spinning or that the inside of your head is spinning. Benign paroxysmal positional vertigo causes brief episodes of mild to intense dizziness.,"lie down, avoid sudden change in body, avoid abrupt head movment, relax",ENT Specialist,False
Acne,blackheads scurring pus filled pimples skin rash,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.","bath twice, avoid fatty spicy food, drink plenty of water, avoid too many products",Dermatologist,False
Urinary tract infection,continuous feel of urine foul smell of urine burning micturition bladder discomfort,"Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Urologist,False
Psoriasis,joint pain skin peeling inflammatory nails small dents in nails skin rash silver like dusting,"Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",Dermatologist,False
Impetigo,yellow crust ooze skin rash red sore around nose high fever blister,"Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor",Dermatologist,False
Orthopedic Pain,leg pain hand pain arm pain back pain neck pain knee pain shoulder pain foot pain joint ache muscle pain cramp cramps muscle cramp muscle cramps muscle ache limb stiffness,"Orthopedic pain covers joint, muscle, and bone issues which cause aching, muscle cramps, stiffness, or sharp pain in limbs and joints.","rest the affected area, apply ice or heat, take over the counter pain relievers, consult doctor",Orthopedist,False
Localized Skin Infection,reddish color hand elbow arm leg foot middle finger toe redness swelling irritation,"A localized skin infection or dermatitis can cause redness, swelling, and a reddish color on the affected area.","keep area clean, apply topical cream if prescribed, monitor for swelling, consult doctor",Dermatologist,False
Dental Issue,toothache jaw pain gums bleeding sensitive teeth tooth pain gum swelling,"Dental issues involve problems with the teeth, gums, or jaw.","rinse with salt water, use cold compress, brush gently, consult dentist",Dentist,False
Stress & Anxiety,stressed stress anxious panic attacks worry heart racing restlessness nervous feeling sweat shaking breathlessness,"Stress and anxiety are mental health responses to challenging or threatening situations, causing emotional tension, rapid heart rate, and constant worry.","practice deep breathing, engage in regular exercise, limit caffeine intake, consult psychologist or therapist",Psychologist or Psychiatrist,False
Depression,depressed sadness hoplessness loss of interest fatigue mood swings sleep issues crying spells suicidal thoughts low energy,"Depression is a common and serious medical illness that negatively affects how you feel, the way you think, and how you act, causing persistent sadness and loss of interest in activities.","reach out to trusted friends, maintain a regular sleep schedule, stay physically active, consult psychologist or psychiatrist",Psychiatrist or Therapist,False
Tension Headache,headache head pain forehead pressure neck stiffness mild headache,"A tension headache is the most common type of headache. It can cause mild, moderate, or intense pain behind your eyes and in your head and neck.","take rest, stay hydrated, apply warm compress, avoid stress",General Physician,False
